 jsonID program  priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]                                                                                             json_filename
     90     twi         0     10    1.85     78.5     SheppardTwilightApr14evening.json  69.38   4.92 2026-04-14T22:59:14.952 18:59 18:59    0.00      0.0      0.00    26.70    26.70      /Users/arest/observing/decat_pointings/json_files/2026A/twi/260414/SheppardTwilightApr14evening.json
     37     yse         0     20    1.74     70.7                              253.json  61.28 -24.71 2026-04-14T23:25:56.952 19:25 19:25   30.66      0.0      1.12     8.00     9.12                               /Users/arest/observing/decat_pointings/json_files/2026A/yse/260414/253.json
     42     yse         0     30    1.61     74.9                            XEDFS.json  61.25 -48.42 2026-04-14T23:35:04.404 19:35 19:35   23.71      1.0      3.87    21.33    25.20                             /Users/arest/observing/decat_pointings/json_files/2026A/yse/260414/XEDFS.json
     35     yse         0     40    1.27    105.6                          2026hkg.json 135.89 -67.88 2026-04-15T00:00:16.573 20:00 20:00   40.61      0.0      1.49     2.67     4.16                           /Users/arest/observing/decat_pointings/json_files/2026A/yse/260414/2026hkg.json
     28     yse         0     50    1.01    135.6                          2026ayt.json 141.84 -31.92 2026-04-15T00:04:25.916 20:04 20:04   36.13      0.0      1.32     2.67     3.99                           /Users/arest/observing/decat_pointings/json_files/2026A/yse/260414/2026ayt.json
     44     eta         0     60    1.21    116.2          etale.ec0814.griz.11min.json 158.03 -60.69 2026-04-15T00:08:25.401 20:08 20:08   30.67      0.0      1.12    10.33    11.46           /Users/arest/observing/decat_pointings/json_files/2026A/eta/260414/etale.ec0814.griz.11min.json
     89     eta         0     70    1.20    117.6          etale.ec0915.griz.11min.json 161.26 -59.68 2026-04-15T00:19:52.877 20:19 20:19    1.89      0.0      0.07    10.33    10.40           /Users/arest/observing/decat_pointings/json_files/2026A/eta/260414/etale.ec0915.griz.11min.json
     45     eta         0     80    1.19    117.9                    etale.g.32min.json 161.91 -59.48 2026-04-15T00:30:17.045 20:30 20:30    0.38      0.0      0.01    19.17    19.18                     /Users/arest/observing/decat_pointings/json_files/2026A/eta/260414/etale.g.32min.json
     88  debass         0     90    1.05    146.9                       2026iqv_P1.json 142.02 -12.15 2026-04-15T00:49:27.890 20:49 20:49   49.60      1.0      4.82     2.33     7.15                     /Users/arest/observing/decat_pointings/json_files/2026A/debass/260414/2026iqv_P1.json
     80  debass         0    100    1.10    148.4                       2026fmz_P1.json 141.54  -5.78 2026-04-15T00:56:37.015 20:56 20:56    6.39      0.0      0.23     3.00     3.23                     /Users/arest/observing/decat_pointings/json_files/2026A/debass/260414/2026fmz_P1.json
