UT -14 deg twilight: 2026-04-14T23:25:56.952 2026-04-15T10:01:04.789
UT middle of the night: 2026-04-15T04:43:30.871

timezone CLT: America/SantiagoCLT -14 deg twilight: 04/14/2026,   19:25:56 to 06:01:04
timezone ET: America/New_YorkET  -14 deg twilight: 04/14/2026,   19:25:56 to 06:01:04
timezone PT: America/Los_AngelesPT  -14 deg twilight: 04/14/2026,   16:25:56 to 03:01:04
CLT middle of the night: 00:43:30
ET  middle of the night: 00:43:30
PT  middle of the night: 21:43:30


UT -14 deg twilight: 2026-04-14T23:25:56.952 2026-04-15T10:01:04.789
UT middle of the night: 2026-04-15T04:43:30.871

timezone CLT: America/SantiagoCLT -14 deg twilight: 04/14/2026,   19:25:56 to 06:01:04
timezone ET: America/New_YorkET  -14 deg twilight: 04/14/2026,   19:25:56 to 06:01:04
timezone PT: America/Los_AngelesPT  -14 deg twilight: 04/14/2026,   16:25:56 to 03:01:04
CLT middle of the night: 00:43:30
ET  middle of the night: 00:43:30
PT  middle of the night: 21:43:30



#####################
### OBSPLAN:
#####################
 jsonID program  priority  order airmass sep_moon                            json_short     ra    dec                      UT   CLT    ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     37     yse         0     10    1.74     70.7                              253.json  61.28 -24.71 2026-04-14T23:25:56.952 19:25 19:25    0.00      0.0      0.00    16.00    16.00
     42     yse         0     20    1.65     74.9                            XEDFS.json  61.25 -48.42 2026-04-14T23:41:56.952 19:41 19:41   23.71      1.0      3.87    21.33    25.20
     35     yse         0     30    1.26    105.6                          2026hkg.json 135.89 -67.88 2026-04-15T00:07:09.121 20:07 20:07   40.61      0.0      1.49     2.67     4.16
     28     yse         0     40    1.01    135.6                          2026ayt.json 141.84 -31.92 2026-04-15T00:11:18.464 20:11 20:11   36.13      0.0      1.32     2.67     3.99
     44     eta         0     50    1.20    116.2          etale.ec0814.griz.11min.json 158.03 -60.69 2026-04-15T00:15:17.949 20:15 20:15   30.67      0.0      1.12    10.33    11.46
     45     eta         0     60    1.19    117.6                    etale.g.32min.json 161.26 -59.68 2026-04-15T00:26:45.425 20:26 20:26    1.89      0.0      0.07    29.00    29.07
      7  desirt         0     70    1.16    157.6                 DESIRT_EP260321a.json 149.85   0.42 2026-04-15T00:55:49.593 20:55 20:55   60.76      1.0      5.23     8.00    13.23
     41     yse         0     80    1.18    157.9                             XCOS.json 150.11   2.27 2026-04-15T01:09:03.266 21:09 21:09    1.87      0.0      0.07    10.67    10.74
     32     yse         0     90    1.35    145.8                          2026efq.json 138.98  10.22 2026-04-15T01:19:47.379 21:19 21:19   13.62      0.0      0.50     2.67     3.17
     24     yse         0    100    1.40    132.0                         2025advo.json 124.41   4.70 2026-04-15T01:22:57.341 21:22 21:22   15.45      0.0      0.57     5.67     6.23
     25     yse         0    110    1.70    143.5                         2025ahkt.json 141.42  22.42 2026-04-15T01:29:11.341 21:29 21:29   24.18      0.0      0.89     4.00     4.89
      0  desirt         0    120    1.12    168.4                DESIRT_165_2026_g.json 162.17  -3.50 2026-04-15T01:34:04.541 21:34 21:34   32.90      0.0      1.21    12.00    13.21
      1  desirt         0    130    1.12    168.3                DESIRT_165_2026_i.json 162.17  -3.50 2026-04-15T01:47:16.921 21:47 21:47    0.00      0.0      0.00    16.50    16.50
      2  desirt         0    140    1.12    168.2                DESIRT_165_2026_r.json 162.17  -3.50 2026-04-15T02:03:46.921 22:03 22:03    0.00      0.0      0.00    15.00    15.00
     29     yse         0    150    1.01    144.7                          2026ayz.json 158.46 -30.93 2026-04-15T02:18:46.921 22:18 22:18   27.65      0.0      1.01     2.67     3.68
     33     yse         0    160    1.00    150.5                          2026gvk.json 169.96 -27.78 2026-04-15T02:22:27.761 22:22 22:22   10.50      0.0      0.39     2.33     2.72
     68    dosc         0    170    1.00    152.7     1_OMLApex.260414_g_5-dithpos.json 166.68 -24.98 2026-04-15T02:25:10.867 22:25 22:25    4.06      0.0      0.15    12.50    12.65
     69    dosc         0    180    1.01    152.8    2_OMLApex.260414_r_10-dithpos.json 166.68 -24.98 2026-04-15T02:37:49.789 22:37 22:37    0.00      0.0      0.00    25.00    25.00
     70    dosc         0    190    1.02    152.8    3_OMLApex.260414_i_15-dithpos.json 166.68 -24.98 2026-04-15T03:02:49.789 23:02 23:02    0.00      0.0      0.00    37.50    37.50
     71    dosc         0    200    1.06    152.9    4_OMLApex.260414_z_20-dithpos.json 166.68 -24.98 2026-04-15T03:40:19.789 23:40 23:40    0.00      0.0      0.00    50.00    50.00
     34     yse         0    210    1.07    155.5                          2026gzx.json 178.48 -23.08 2026-04-15T04:30:19.789 00:30 00:30   10.94      0.0      0.40     2.33     2.73
     27     yse         0    220    1.92    150.4                          2025few.json 188.33  27.20 2026-04-15T04:33:03.868 00:33 00:33   51.17      0.0      1.88     6.50     8.38
     55  shadow         0    230    1.27    168.5           Shadow_Virgo_Field27_r.json 185.25   3.78 2026-04-15T04:41:26.431 00:41 00:41   23.60      0.0      0.87     2.00     2.87
     47  shadow         0    240    1.31    168.3           Shadow_Virgo_Field10_r.json 184.81   5.76 2026-04-15T04:44:18.361 00:44 00:44    2.03      0.0      0.07     2.00     2.07
     51  shadow         0    250    1.36    166.0           Shadow_Virgo_Field20_r.json 185.65   8.95 2026-04-15T04:46:22.827 00:46 00:46    3.30      0.0      0.12     2.00     2.12
     59  shadow         0    260    1.33    166.6            Shadow_Virgo_Field9_r.json 186.01   7.17 2026-04-15T04:48:30.082 00:48 00:48    1.82      0.0      0.07     2.00     2.07
     49  shadow         0    270    1.31    164.2           Shadow_Virgo_Field18_r.json 188.78   6.90 2026-04-15T04:50:34.084 00:50 00:50    2.76      0.0      0.10     2.00     2.10
     57  shadow         0    280    1.35    164.7            Shadow_Virgo_Field8_r.json 187.60   8.44 2026-04-15T04:52:40.151 00:52 00:52    1.93      0.0      0.07     2.00     2.07
     53  shadow         0    290    1.25    165.9           Shadow_Virgo_Field26_r.json 188.26   2.36 2026-04-15T04:54:44.402 00:54 00:54    6.12      0.0      0.22     2.00     2.22
     40     yse         0    300    1.42    163.7                              525.json 186.99  11.09 2026-04-15T04:56:57.863 00:56 00:56    8.82      0.0      0.32    32.00    32.32
     54  shadow         0    310    1.39    168.8           Shadow_Virgo_Field27_g.json 185.25   3.78 2026-04-15T05:29:17.276 01:29 01:29    7.51      0.0      0.28     2.00     2.28
     46  shadow         0    320    1.45    168.6           Shadow_Virgo_Field10_g.json 184.81   5.76 2026-04-15T05:31:33.805 01:31 01:31    2.03      0.0      0.07     2.00     2.07
     50  shadow         0    330    1.51    166.2           Shadow_Virgo_Field20_g.json 185.65   8.95 2026-04-15T05:33:38.271 01:33 01:33    3.30      0.0      0.12     2.00     2.12
     58  shadow         0    340    1.47    166.9            Shadow_Virgo_Field9_g.json 186.01   7.17 2026-04-15T05:35:45.526 01:35 01:35    1.82      0.0      0.07     2.00     2.07
     48  shadow         0    350    1.43    164.5           Shadow_Virgo_Field18_g.json 188.78   6.90 2026-04-15T05:37:49.528 01:37 01:37    2.76      0.0      0.10     2.00     2.10
     56  shadow         0    360    1.49    164.9            Shadow_Virgo_Field8_g.json 187.60   8.44 2026-04-15T05:39:55.595 01:39 01:39    1.93      0.0      0.07     2.00     2.07
     52  shadow         0    370    1.37    166.2           Shadow_Virgo_Field26_g.json 188.26   2.36 2026-04-15T05:41:59.846 01:41 01:41    6.12      0.0      0.22     2.00     2.22
      4  desirt         0    380    1.41    142.0                  DESIRT_210_14_r.json 210.63  13.94 2026-04-15T05:44:13.307 01:44 01:44   24.95      0.0      0.91    10.00    10.91
      3  desirt         0    390    1.42    142.1                  DESIRT_210_14_g.json 210.63  13.94 2026-04-15T05:55:08.195 01:55 01:55    0.00      0.0      0.00     8.00     8.00
      8  desirt         0    400    1.10    129.4              DESIRT_G15-1_2026_g.json 225.08  -5.70 2026-04-15T06:03:08.195 02:03 02:03   24.32      0.0      0.89     8.00     8.89
     10  desirt         0    410    1.14    129.2              DESIRT_G15-2_2026_g.json 225.61  -1.68 2026-04-15T06:12:01.703 02:12 02:12    4.06      0.0      0.15    13.33    13.48
     12  desirt         0    420    1.15    128.2              DESIRT_G15-3_2026_g.json 226.79  -0.72 2026-04-15T06:25:30.633 02:25 02:25    1.52      0.0      0.06     6.67     6.72
      9  desirt         0    430    1.10    129.6              DESIRT_G15-1_2026_i.json 225.08  -5.70 2026-04-15T06:32:13.983 02:32 02:32    5.27      0.0      0.19    11.00    11.19
     11  desirt         0    440    1.15    129.5              DESIRT_G15-2_2026_i.json 225.61  -1.68 2026-04-15T06:43:25.576 02:43 02:43    4.06      0.0      0.15    18.33    18.48
     13  desirt         0    450    1.17    128.5              DESIRT_G15-3_2026_i.json 226.79  -0.72 2026-04-15T07:01:54.506 03:01 03:01    1.52      0.0      0.06     9.17     9.22
     38     yse         0    460    1.12    132.4                              376.json 222.21  -9.14 2026-04-15T07:11:07.856 03:11 03:11    9.58      0.0      0.35    16.00    16.35
     39     yse         0    470    1.19    127.3                              428.json 228.14  -1.49 2026-04-15T07:27:28.923 03:27 03:27    9.66      0.0      0.35    16.00    16.35
     31     yse         0    480    1.01    111.4                          2026cmv.json 241.99 -23.92 2026-04-15T07:43:50.171 03:43 03:43   26.13      0.0      0.96     2.67     3.62
     30     yse         0    490    1.32    131.1                          2026bgd.json 200.24 -43.59 2026-04-15T07:47:27.657 03:47 03:47   39.33      1.0      4.44     3.33     7.78
     26     yse         0    500    1.20    132.5                         2025ajmj.json 211.30 -33.68 2026-04-15T07:55:14.189 03:55 03:55   13.12      0.0      0.48     4.00     4.48
     72    dosc         0    510    1.20    131.2 5_ShallowApex.260414_g_3-dithpos.json 213.20 -33.90 2026-04-15T07:59:43.056 03:59 03:59    1.59      0.0      0.06     7.50     7.56
     73    dosc         0    520    1.22    131.2 6_ShallowApex.260414_r_3-dithpos.json 213.20 -33.90 2026-04-15T08:07:16.562 04:07 04:07    0.00      0.0      0.00     7.50     7.50
     74    dosc         0    530    1.24    131.3 7_ShallowApex.260414_i_3-dithpos.json 213.20 -33.90 2026-04-15T08:14:46.562 04:14 04:14    0.00      0.0      0.00     7.50     7.50
     75    dosc         0    540    1.27    131.4 8_ShallowApex.260414_z_3-dithpos.json 213.20 -33.90 2026-04-15T08:22:16.562 04:22 04:22    0.00      0.0      0.00     7.50     7.50
     36     yse         0    550    1.17     89.8                          2026icy.json 266.54 -61.24 2026-04-15T08:29:46.562 04:29 04:29   43.33      0.0      1.59     2.67     4.26
      5  desirt         0    560    1.81     38.4                DESIRT_315_2026_g.json 319.10 -11.09 2026-04-15T08:34:01.892 04:34 04:34   62.89      1.0      5.31    14.67    19.97
      6  desirt         0    570    1.63     38.6                DESIRT_315_2026_r.json 319.10 -11.09 2026-04-15T08:54:00.256 04:54 04:54    0.00      0.0      0.00    18.33    18.33

#####################
### EXTRA TARGETS:
#####################
 jsonID program  priority  order airmass sep_moon                   json_short     ra    dec  UT CLT  ET sep_deg  decflip t_slew[m] t_exp[m] t_tot[m]
     61  shadow         1     -1     NaN      NaN Shadow_Antlia_r90_extra.json 157.40 -35.33 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     60  shadow         1     -1     NaN      NaN         Shadow_Antlia_g.json 157.40 -35.33 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     67  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field3_r.json 157.70 -29.14 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     66  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field3_g.json 157.70 -29.14 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     65  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field2_r.json 159.21 -25.35 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     64  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field2_g.json 159.21 -25.35 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     63  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field1_r.json 159.23 -27.52 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     62  shadow         1     -1     NaN      NaN   Shadow_Hydra_Field1_g.json 159.23 -27.52 NaN NaN NaN     NaN      0.0       NaN     2.00      NaN
     14  desirt         1     -1     NaN      NaN       DESIRT_165_2026_i.json 162.17  -3.50 NaN NaN NaN     NaN      0.0       NaN    16.50      NaN
     20  desirt         2     -1     NaN      NaN       DESIRT_165_2025_z.json 162.71  -4.04 NaN NaN NaN     NaN      0.0       NaN    15.17      NaN
     16  desirt         1     -1     NaN      NaN         DESIRT_210_14_z.json 210.63  13.94 NaN NaN NaN     NaN      0.0       NaN    13.00      NaN
     15  desirt         1     -1     NaN      NaN         DESIRT_210_14_i.json 210.63  13.94 NaN NaN NaN     NaN      0.0       NaN    11.00      NaN
     21  desirt         2     -1     NaN      NaN     DESIRT_G15-1_2026_z.json 225.08  -5.70 NaN NaN NaN     NaN      0.0       NaN    13.00      NaN
     17  desirt         1     -1     NaN      NaN     DESIRT_G15-1_2026_r.json 225.08  -5.70 NaN NaN NaN     NaN      0.0       NaN    10.00      NaN
     22  desirt         2     -1     NaN      NaN     DESIRT_G15-2_2026_z.json 225.61  -1.68 NaN NaN NaN     NaN      0.0       NaN    21.67      NaN
     18  desirt         1     -1     NaN      NaN     DESIRT_G15-2_2026_r.json 225.61  -1.68 NaN NaN NaN     NaN      0.0       NaN    16.67      NaN
     23  desirt         2     -1     NaN      NaN     DESIRT_G15-3_2026_z.json 226.79  -0.72 NaN NaN NaN     NaN      0.0       NaN    10.83      NaN
     19  desirt         1     -1     NaN      NaN     DESIRT_G15-3_2026_r.json 226.79  -0.72 NaN NaN NaN     NaN      0.0       NaN     8.33      NaN
     43     yse         1     -1     NaN      NaN                     544.json 321.80  11.20 NaN NaN NaN     NaN      0.0       NaN     8.00      NaN
